#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.4272,0.00034668,0.00031998,0.00094768,0.00028275,0.00084398,4.2143e-06,0.0011995
0.43315,0.00034684,0.00031983,0.00095494,0.00029001,0.00085394,4.2691e-06,0.0012137
0.43918,0.00034701,0.00031966,0.00096258,0.00029767,0.00086443,4.3269e-06,0.0012286
0.4453,0.00034718,0.00031949,0.00097063,0.00030573,0.00087549,4.3881e-06,0.0012443
0.4515,0.00034737,0.0003193,0.00097913,0.00031424,0.00088716,4.4529e-06,0.0012609
0.45778,0.00034756,0.0003191,0.00098811,0.00032324,0.00089948,4.5217e-06,0.0012784
0.46416,0.00034777,0.0003189,0.0009976,0.00033274,0.00091251,4.5947e-06,0.0012969
0.47062,0.00034799,0.00031868,0.0010076,0.00034281,0.0009263,4.6723e-06,0.0013165
0.47718,0.00034822,0.00031845,0.0010183,0.00035348,0.00094092,4.7549e-06,0.0013373
0.48382,0.00034846,0.0003182,0.0010296,0.0003648,0.00095644,4.8431e-06,0.0013593
0.49056,0.00034872,0.00031794,0.0010416,0.00037684,0.00097294,4.9373e-06,0.0013828
0.49739,0.000349,0.00031766,0.0010544,0.00038966,0.00099051,5.0381e-06,0.0014077
0.50432,0.0003493,0.00031737,0.0010681,0.00040333,0.0010092,5.1462e-06,0.0014343
0.51134,0.00034962,0.00031705,0.0010827,0.00041794,0.0010292,5.2624e-06,0.0014628
0.51846,0.00034995,0.00031671,0.0010983,0.00043357,0.0010507,5.3876e-06,0.0014932
0.52568,0.00035032,0.00031635,0.001115,0.00045033,0.0010736,5.5227e-06,0.0015259
0.533,0.00035071,0.00031596,0.001133,0.00046835,0.0010983,5.669e-06,0.0015609
0.54042,0.00035113,0.00031554,0.0011524,0.00048775,0.0011249,5.8277e-06,0.0015987
0.54795,0.00035158,0.00031508,0.0011733,0.00050871,0.0011536,6.0005e-06,0.0016395
