#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.352,0.00034208,0.00032458,0.00073609,7.0463e-05,0.00042343,9.4597e-05,0.00069445
0.3569,0.00034216,0.00032451,0.00073957,7.3921e-05,0.00042611,9.6104e-05,0.00069973
0.36187,0.00034224,0.00032443,0.0007432,7.754e-05,0.00042889,9.7692e-05,0.00070523
0.36691,0.00034232,0.00032434,0.00074701,8.1329e-05,0.00043179,9.9368e-05,0.00071099
0.37202,0.00034241,0.00032426,0.000751,8.5299e-05,0.0004348,0.00010114,0.00071701
0.3772,0.0003425,0.00032417,0.00075518,8.9463e-05,0.00043794,0.00010301,0.0007233
0.38246,0.00034259,0.00032407,0.00075957,9.3832e-05,0.00044122,0.00010499,0.00072989
0.38778,0.00034269,0.00032397,0.00076418,9.8422e-05,0.00044464,0.00010709,0.0007368
0.39318,0.0003428,0.00032387,0.00076904,0.00010325,0.0004482,0.00010931,0.00074404
0.39866,0.00034291,0.00032376,0.00077414,0.00010832,0.00045192,0.00011168,0.00075163
0.40421,0.00034303,0.00032364,0.00077952,0.00011367,0.0004558,0.00011419,0.00075961
0.40984,0.00034315,0.00032352,0.00078519,0.00011931,0.00045986,0.00011687,0.00076799
0.41555,0.00034328,0.00032339,0.00079117,0.00012526,0.0004641,0.00011972,0.00077681
0.42133,0.00034341,0.00032325,0.0007975,0.00013154,0.00046854,0.00012277,0.0007861
0.4272,0.00034356,0.00032311,0.00080419,0.00013819,0.00047319,0.00012604,0.00079589
0.43315,0.00034371,0.00032295,0.00081128,0.00014523,0.00047805,0.00012954,0.00080622
0.43918,0.00034388,0.00032279,0.00081881,0.00015271,0.00048315,0.00013329,0.00081713
0.4453,0.00034405,0.00032262,0.0008268,0.00016064,0.00048849,0.00013733,0.00082867
0.4515,0.00034423,0.00032243,0.0008353,0.00016908,0.0004941,0.00014169,0.00084089
