#f, DARM, CARM, MICH, PRC, SRC
0.51134,2.6643e-16-8.6297e-19i,2.0419e-05+8.6218e-05i,1.4129e-16+3.7114e-22i,1.581e-16+1.5588e-19i,8.9775e-16+2.7929e-18i
0.51846,2.7202e-16-8.9354e-19i,2.0064e-05+8.5209e-05i,1.4134e-16+3.4978e-22i,1.5649e-16+1.5715e-19i,8.8579e-16+2.7889e-18i
0.52568,2.7802e-16-9.262e-19i,1.9678e-05+8.4183e-05i,1.414e-16+3.2487e-22i,1.5477e-16+1.5832e-19i,8.7302e-16+2.7815e-18i
0.533,2.8447e-16-9.6119e-19i,1.9256e-05+8.3132e-05i,1.4147e-16+2.9577e-22i,1.5291e-16+1.5939e-19i,8.5934e-16+2.7704e-18i
0.54042,2.9144e-16-9.9877e-19i,1.8795e-05+8.2048e-05i,1.4154e-16+2.6174e-22i,1.509e-16+1.6033e-19i,8.4467e-16+2.7551e-18i
0.54795,2.9897e-16-1.0393e-18i,1.829e-05+8.0921e-05i,1.4163e-16+2.2181e-22i,1.4872e-16+1.6113e-19i,8.289e-16+2.7352e-18i
0.55558,3.0714e-16-1.083e-18i,1.7738e-05+7.9737e-05i,1.4172e-16+1.7479e-22i,1.4635e-16+1.6175e-19i,8.1191e-16+2.71e-18i
0.56331,3.1603e-16-1.1305e-18i,1.7132e-05+7.8481e-05i,1.4182e-16+1.1915e-22i,1.4377e-16+1.6217e-19i,7.9355e-16+2.6789e-18i
0.57116,3.2574e-16-1.1823e-18i,1.6466e-05+7.7135e-05i,1.4194e-16+5.289e-23i,1.4094e-16+1.6235e-19i,7.7366e-16+2.6412e-18i
0.57911,3.364e-16-1.239e-18i,1.5736e-05+7.5676e-05i,1.4208e-16-2.6615e-23i,1.3784e-16+1.6223e-19i,7.5206e-16+2.596e-18i
0.58718,3.4814e-16-1.3013e-18i,1.4933e-05+7.4073e-05i,1.4224e-16-1.2292e-22i,1.3441e-16+1.6176e-19i,7.2852e-16+2.5424e-18i
0.59535,3.6114e-16-1.3704e-18i,1.4051e-05+7.2293e-05i,1.4243e-16-2.4093e-22i,1.3061e-16+1.6088e-19i,7.0277e-16+2.4792e-18i
0.60364,3.7563e-16-1.4475e-18i,1.3085e-05+7.0289e-05i,1.4265e-16-3.8762e-22i,1.2637e-16+1.595e-19i,6.7451e-16+2.4052e-18i
0.61205,3.9189e-16-1.5343e-18i,1.2026e-05+6.8007e-05i,1.4292e-16-5.732e-22i,1.2163e-16+1.5751e-19i,6.4335e-16+2.3186e-18i
