# Transfer Function (TF) from vertical acceleration ground motion [m/s/s] to vertical TM motion [m] for ETMY suspension which has stucked GAS filters at F1, F2, F3.
# This TF is calculated by K.Miyo with "SuspensionModel/release/0.4". (https://github.com/gw-vis/SuspensionModel/tree/release/0.4)
# 
# Frequency[Hz], Magnitude[m/(m/s/s)], Phase[degree]
0.39811,0.10478,-1.6315
0.40179,0.10141,-1.7276
0.40551,0.098202,-1.828
0.40926,0.095147,-1.9329
0.41305,0.092239,-2.0428
0.41687,0.089471,-2.158
0.42073,0.086836,-2.2787
0.42462,0.084329,-2.4055
0.42855,0.081945,-2.5387
0.43251,0.079677,-2.6789
0.43652,0.077522,-2.8265
0.44055,0.075476,-2.9822
0.44463,0.073533,-3.1465
0.44875,0.071691,-3.3202
0.4529,0.069947,-3.504
0.45709,0.068296,-3.6986
0.46132,0.066737,-3.9052
0.46559,0.065267,-4.1246
0.46989,0.063884,-4.358
0.47424,0.062585,-4.6068
0.47863,0.061371,-4.8722
0.48306,0.060239,-5.1559
0.48753,0.059189,-5.4598
0.49204,0.05822,-5.7857
0.49659,0.057333,-6.1361
0.50119,0.056528,-6.5136
0.50582,0.055805,-6.9211
0.5105,0.055166,-7.3621
0.51523,0.054614,-7.8406
0.52,0.054151,-8.3612
0.52481,0.05378,-8.9291
0.52966,0.053506,-9.5508
0.53456,0.053335,-10.234
0.53951,0.053272,-10.986
0.5445,0.053326,-11.819
0.54954,0.053507,-12.744
0.55463,0.053825,-13.778
0.55976,0.054295,-14.937
0.56494,0.054932,-16.245
0.57016,0.055754,-17.73
0.57544,0.056783,-19.426
0.58076,0.058043,-21.376
0.58614,0.059557,-23.634
0.59156,0.061349,-26.269
0.59704,0.063435,-29.366
0.60256,0.065815,-33.032
0.60814,0.06845,-37.395
0.61376,0.071234,-42.603
0.61944,0.073944,-48.806
0.62517,0.076192,-56.121
0.63096,0.077411,-64.56
0.6368,0.076961,-73.953
0.64269,0.074396,-83.89
0.64863,0.069762,-93.798
0.65464,0.063636,-103.11
0.66069,0.056843,-111.44
0.66681,0.0501,-118.65
0.67298,0.043855,-124.74
0.6792,0.038306,-129.86
0.68549,0.033486,-134.14
0.69183,0.029348,-137.74
0.69823,0.025809,-140.78
0.70469,0.022783,-143.36
0.71121,0.02019,-145.58
0.71779,0.01796,-147.49
0.72444,0.016034,-149.15
0.73114,0.014363,-150.6
0.7379,0.012907,-151.87
0.74473,0.011633,-153
0.75162,0.010512,-154.01
0.75858,0.0095237,-154.9
0.7656,0.008648,-155.71
0.77268,0.0078697,-156.43
0.77983,0.0071757,-157.08
0.78705,0.0065549,-157.68
0.79433,0.005998,-158.21
0.80168,0.0054973,-158.7
0.8091,0.0050458,-159.15
0.81658,0.0046379,-159.56
0.82414,0.0042685,-159.93
0.83176,0.0039333,-160.28
0.83946,0.0036285,-160.59
0.84723,0.0033511,-160.88
0.85507,0.0030979,-161.15
0.86298,0.0028667,-161.4
0.87096,0.0026551,-161.62
0.87902,0.0024612,-161.83
0.88716,0.0022834,-162.03
0.89536,0.00212,-162.2
0.90365,0.0019698,-162.37
0.91201,0.0018315,-162.52
0.92045,0.0017041,-162.66
0.92897,0.0015865,-162.78
0.93756,0.001478,-162.9
0.94624,0.0013776,-163.01
0.95499,0.0012848,-163.11
0.96383,0.0011989,-163.19
0.97275,0.0011194,-163.28
0.98175,0.0010456,-163.35
0.99083,0.0009771,-163.41
1,0.00091353,-163.47
1.0093,0.00085448,-163.53
1.0186,0.00079958,-163.57
1.028,0.00074851,-163.61
1.0375,0.00070099,-163.65
1.0471,0.00065673,-163.68
1.0568,0.00061549,-163.7
1.0666,0.00057705,-163.72
1.0765,0.00054119,-163.74
1.0864,0.00050774,-163.75
1.0965,0.0004765,-163.76
1.1066,0.00044733,-163.76
1.1169,0.00042008,-163.76
1.1272,0.0003946,-163.75
1.1376,0.00037078,-163.74
1.1482,0.00034849,-163.73
1.1588,0.00032764,-163.71
1.1695,0.00030811,-163.7
1.1803,0.00028983,-163.67
1.1912,0.0002727,-163.65
1.2023,0.00025665,-163.62
1.2134,0.0002416,-163.59
1.2246,0.00022749,-163.55
1.2359,0.00021425,-163.52
1.2474,0.00020183,-163.48
1.2589,0.00019017,-163.43
1.2706,0.00017923,-163.39
1.2823,0.00016895,-163.34
1.2942,0.00015929,-163.29
1.3062,0.00015022,-163.24
1.3183,0.00014169,-163.18
1.3305,0.00013367,-163.13
1.3428,0.0001261,-163.07
1.3552,0.00011888,-163
1.3677,0.00011264,-162.93
1.3804,0.00010623,-162.88
1.3932,0.00010029,-162.81
1.406,9.4727e-05,-162.74
1.4191,8.9489e-05,-162.67
1.4322,8.4559e-05,-162.59
1.4454,7.9916e-05,-162.52
1.4588,7.5542e-05,-162.44
1.4723,7.1421e-05,-162.36
1.4859,6.7538e-05,-162.28
1.4997,6.3877e-05,-162.2
1.5136,6.0426e-05,-162.11
1.5276,5.7172e-05,-162.02
1.5417,5.4102e-05,-161.94
1.556,5.1207e-05,-161.85
1.5704,4.8475e-05,-161.75
1.5849,4.5897e-05,-161.66
1.5996,4.3464e-05,-161.56
1.6144,4.1167e-05,-161.47
1.6293,3.8999e-05,-161.37
1.6444,3.6951e-05,-161.27
1.6596,3.5018e-05,-161.17
1.6749,3.319e-05,-161.06
1.6904,3.1464e-05,-160.96
1.7061,2.9834e-05,-160.85
1.7219,2.8292e-05,-160.74
1.7378,2.6836e-05,-160.63
1.7539,2.5458e-05,-160.52
1.7701,2.4156e-05,-160.41
1.7865,2.2925e-05,-160.29
1.803,2.1761e-05,-160.18
1.8197,2.0659e-05,-160.06
1.8365,1.9617e-05,-159.94
1.8535,1.8631e-05,-159.82
1.8707,1.7698e-05,-159.7
1.888,1.6815e-05,-159.58
1.9055,1.5979e-05,-159.45
1.9231,1.5188e-05,-159.33
1.9409,1.4439e-05,-159.2
1.9588,1.3729e-05,-159.07
1.977,1.3057e-05,-158.94
1.9953,1.2421e-05,-158.81
2.0137,1.1818e-05,-158.68
2.0324,1.1246e-05,-158.54
2.0512,1.0705e-05,-158.41
2.0701,1.0192e-05,-158.27
2.0893,9.7055e-06,-158.14
2.1086,9.2444e-06,-158
2.1281,8.8073e-06,-157.86
2.1478,8.3928e-06,-157.72
2.1677,7.9997e-06,-157.58
2.1878,7.6269e-06,-157.43
2.208,7.2733e-06,-157.29
2.2284,6.9378e-06,-157.15
2.2491,6.6195e-06,-157
2.2699,6.3174e-06,-156.85
2.2909,6.0308e-06,-156.7
2.3121,5.7587e-06,-156.56
2.3335,5.5005e-06,-156.41
2.355,5.2553e-06,-156.26
2.3768,5.0225e-06,-156.1
2.3988,4.8015e-06,-155.95
2.421,4.5916e-06,-155.8
2.4434,4.3923e-06,-155.65
2.466,4.203e-06,-155.49
2.4889,4.0232e-06,-155.34
2.5119,3.8523e-06,-155.18
2.5351,3.6901e-06,-155.03
2.5586,3.5359e-06,-154.87
2.5823,3.3894e-06,-154.71
2.6062,3.2503e-06,-154.56
2.6303,3.118e-06,-154.4
2.6546,2.9924e-06,-154.24
2.6792,2.873e-06,-154.09
2.704,2.7595e-06,-153.93
2.729,2.6518e-06,-153.77
2.7542,2.5494e-06,-153.62
2.7797,2.4521e-06,-153.46
2.8054,2.3596e-06,-153.31
2.8314,2.2719e-06,-153.15
2.8576,2.1885e-06,-153
2.884,2.1094e-06,-152.84
2.9107,2.0342e-06,-152.69
2.9376,1.963e-06,-152.54
2.9648,1.8953e-06,-152.39
2.9923,1.8312e-06,-152.24
3.02,1.7704e-06,-152.1
3.0479,1.7129e-06,-151.96
3.0761,1.6584e-06,-151.82
3.1046,1.6069e-06,-151.68
3.1333,1.5582e-06,-151.54
3.1623,1.5123e-06,-151.41
3.1915,1.469e-06,-151.29
3.2211,1.4283e-06,-151.17
3.2509,1.3901e-06,-151.05
3.281,1.3543e-06,-150.94
3.3113,1.3209e-06,-150.84
3.342,1.2898e-06,-150.74
3.3729,1.261e-06,-150.65
3.4041,1.2345e-06,-150.57
3.4356,1.2102e-06,-150.51
3.4674,1.1882e-06,-150.45
3.4995,1.1685e-06,-150.41
3.5318,1.1511e-06,-150.38
3.5645,1.1361e-06,-150.37
3.5975,1.1235e-06,-150.39
3.6308,1.1136e-06,-150.42
3.6644,1.1064e-06,-150.48
3.6983,1.1022e-06,-150.58
3.7325,1.1012e-06,-150.71
3.767,1.1038e-06,-150.89
3.8019,1.1103e-06,-151.12
3.8371,1.1214e-06,-151.42
3.8726,1.1378e-06,-151.79
3.9084,1.1604e-06,-152.26
3.9446,1.1905e-06,-152.85
3.9811,1.2298e-06,-153.6
4.0179,1.2806e-06,-154.54
4.0551,1.3463e-06,-155.75
4.0926,1.4316e-06,-157.33
4.1305,1.5433e-06,-159.41
4.1687,1.6919e-06,-162.23
4.2073,1.893e-06,-166.18
4.2462,2.169e-06,-171.94
4.2855,2.5452e-06,179.29
4.3251,3.0107e-06,165.52
4.3652,3.3757e-06,144.82
4.4055,3.2313e-06,119.82
4.4463,2.6207e-06,98.474
4.4875,1.9962e-06,84.105
4.529,1.5277e-06,74.961
4.5709,1.1967e-06,68.985
4.6132,9.6036e-07,64.905
4.6559,7.8683e-07,62.007
4.6989,6.5579e-07,59.882
4.7424,5.543e-07,58.285
4.7863,4.74e-07,57.062
4.8306,4.0929e-07,56.115
4.8753,3.5633e-07,55.374
4.9204,3.124e-07,54.793
4.9659,2.7557e-07,54.338
5.0119,2.4436e-07,53.983
5.0582,2.1771e-07,53.71
5.105,1.9477e-07,53.504
5.1523,1.749e-07,53.355
5.2,1.5758e-07,53.253
5.2481,1.4241e-07,53.191
5.2966,1.2905e-07,53.163
5.3456,1.1725e-07,53.165
5.3951,1.0677e-07,53.193
5.445,9.7441e-08,53.244
5.4954,8.9106e-08,53.314
5.5463,8.1636e-08,53.403
5.5976,7.4923e-08,53.506
5.6494,6.8876e-08,53.624
5.7016,6.3416e-08,53.755
5.7544,5.8474e-08,53.896
5.8076,5.3993e-08,54.048
